AUDIT DE MATCHING - Evangelion 64
======================================================================

FUNCIONES CON DIFERENCIAS:
----------------------------------------------------------------------


FUNCIONES CON MATCH:
----------------------------------------------------------------------
0x01C2C0 | func_800B16C0                  |  104 bytes
0x01C328 | func_800B1728                  |  624 bytes
0x01C598 | func_800B1998                  |   80 bytes
0x01C5E8 | func_800B19E8                  |  328 bytes
0x01C730 | func_800B1B30                  |  736 bytes
0x01CA10 | func_800B1E10                  |   24 bytes
0x01CA28 | func_800B1E28                  |   68 bytes
0x01CA6C | func_800B1E6C                  |   68 bytes
0x01CAB0 | func_800B1EB0                  |   92 bytes
0x01CB10 | func_800B1F10                  |  372 bytes
0x01CC84 | func_800B2084                  |  208 bytes
0x01CD54 | func_800B2154                  |   12 bytes
0x01CD60 | func_800B2160                  |  108 bytes
0x01CDCC | func_800B21CC                  |  412 bytes
0x01CF70 | func_800B2370                  |   12 bytes
0x01CF7C | func_800B237C                  |  100 bytes
0x01CFE0 | func_800B23E0                  |   96 bytes
0x01D040 | func_800B2440                  |  220 bytes
0x01D120 | func_800B2520                  |  312 bytes
0x01D258 | func_800B2658                  |  380 bytes
0x01D3E0 | func_800B27E0                  |   76 bytes
0x01D42C | func_800B282C                  |   48 bytes
0x01D45C | func_800B285C                  |   24 bytes
0x01D474 | func_800B2874                  |   12 bytes
0x01D480 | func_800B2880                  |   44 bytes
0x01D4AC | func_800B28AC                  |  116 bytes
0x01D520 | func_800B2920                  |  164 bytes
0x01D5C4 | func_800B29C4                  |  128 bytes
0x01D650 | func_800B2A50                  |  160 bytes
0x01D6F0 | func_800B2AF0                  | 1004 bytes
0x01DADC | func_800B2EDC                  |  308 bytes
0x01DC10 | func_800B3010                  | 1400 bytes
0x01E188 | func_800B3588                  |  164 bytes
0x01E22C | func_800B362C                  |  544 bytes
0x01E44C | func_800B384C                  |  320 bytes
0x01E58C | func_800B398C                  |   72 bytes
0x01E5E0 | func_800B39E0                  | 1096 bytes
0x01EA28 | func_800B3E28                  |  396 bytes
0x01EBB4 | func_800B3FB4                  |  324 bytes
0x01ED00 | func_800B4100                  |  444 bytes
0x01EEBC | func_800B42BC                  |   32 bytes
0x01EEE0 | func_800B42E0                  |  784 bytes
0x01F1F0 | func_800B45F0                  |  496 bytes
0x01F3E0 | func_800B47E0                  |  528 bytes
0x01F5F0 | func_800B49F0                  |  296 bytes
0x01F718 | func_800B4B18                  |  280 bytes
0x01F830 | func_800B4C30                  |  152 bytes
0x01F8D0 | func_800B4CD0                  |   68 bytes
0x01F914 | func_800B4D14                  |   56 bytes
0x01F950 | func_800B4D50                  |   76 bytes
0x01F9A0 | func_800B4DA0                  |  280 bytes
0x01FAB8 | func_800B4EB8                  |  192 bytes
0x01FB80 | func_800B4F80                  |   16 bytes
0x01FB90 | func_800B4F90                  |  148 bytes
0x01FC30 | func_800B5030                  |  132 bytes
0x01FCC0 | func_800B50C0                  |  132 bytes
0x01FD50 | func_800B5150                  |  168 bytes
0x01FE00 | func_800B5200                  |  136 bytes
0x01FE90 | func_800B5290                  |  116 bytes
0x01FF10 | func_800B5310                  |  624 bytes
0x020180 | func_800B5580                  |  360 bytes
0x0202E8 | func_800B56E8                  |   44 bytes
0x020314 | func_800B5714                  |   24 bytes
0x02032C | func_800B572C                  |   96 bytes
0x02038C | func_800B578C                  |   56 bytes
0x0203C4 | func_800B57C4                  |   80 bytes
0x020414 | func_800B5814                  |   84 bytes
0x020470 | func_800B5870                  |   76 bytes
0x0204C0 | func_800B58C0                  |   80 bytes
0x020510 | func_800B5910                  |  120 bytes
0x020590 | func_800B5990                  |  588 bytes
0x0207DC | func_800B5BDC                  |   12 bytes
0x0207E8 | func_800B5BE8                  |   12 bytes
0x0207F4 | func_800B5BF4                  |  332 bytes
0x020940 | func_800B5D40                  |  144 bytes
0x0209D0 | func_800B5DD0                  |   64 bytes
0x020A10 | func_800B5E10                  |  124 bytes
0x020A8C | func_800B5E8C                  |   96 bytes
0x020AEC | func_800B5EEC                  |  348 bytes
0x020C48 | func_800B6048                  |  324 bytes
0x020D8C | func_800B618C                  |  136 bytes
0x020E14 | func_800B6214                  |   12 bytes
0x020E20 | func_800B6220                  |   12 bytes
0x020E30 | func_800B6230                  |   56 bytes
